id,symptom
25,rndx confusion
25,Mental Confusion
25,Confusion/ Disorientation
25,Mental disorientation
25,delirium confusional state
25,Altered Mental status
25,Obnubilated
25,dazed
26,swoon
26,falls out
26,pass out
26,Syncope/Fainting
26,loss of consciousness; attack
26,syncope
26,passed out
26,Fainting
26,collapse
26,black out
26,out pass
27,Gastrograffin enema for Crohn's disease
28,Blue Spells
28,SKIN CYANOSIS
28,cyanosed
28,Blue discoloration of the skin
28,unusual change in color of skin to blue
28,Cyanosis
29,urine blood
29,Hematuria
31,adventitious sounds friction rub
31,Pleural Rub
31,Pleural friction rub
32,Marfan Syndrome
32,Marfan
32,MFS
32,Marfan's Syndrome
33,High white blood cell count
33,Leukocytosis
33,Elevated white blood count
33,Increased blood leukocyte number
34,pain rectum
34,rectum pain
34,Pain rectal
34,sore rectum
34,Rectal pain
34,Proctalgia
34,rectal soreness
34,Rectalgia
34,Rectum painful
34,rectal sore
34,Pain in rectum
35,LDH raised.
35,LDH increased
36,Elevated AST
36,AST
36,elevated GOT
36,High AST
36,AST  Increased
36,GOT
36,High GOT
37,Serum Total Creatine Kinase Test
37,CPK INCREASED
37,creatine kinase (CK) level test
37,Creatine (phospho)kinase (& level)
37,Creatine phosphokinase
37,Test;creatine kinase
37,Creatine kinase level
37,Creatine kinase
37,Creatine kinase measurement
37,Creatine Phosphokinase
39,Lung abscess on x-rays
40,ECG ST-T changes
41,Barium enema for colorectal carcinoma
42,Abnormal aortic contour on chest x-ray; widening of mediastinum
43,Effusion pleural
43,Pleural effusion disorder
43,pleural cavity effusion
43,Thoracic effusion
44,Transthoracic aorta ultrasound for aortic dissection
45,Aortic dissection on MRI
46,Computed tomography for aortic dissection
47,Aortography
49,Past history of rheumatic fever
50,fatigue malaise
50,feeling unwell
50,Lacking in energy
50,does not feel right
50,discomfort bodily
50,not feeling well
50,tiredness
50,general disconfort
50,ADR
50,not feeling great
50,feels poorly
50,feeling miserable
50,Weariness
50,felt generally ill
50,Lack of energy
50,feels off-color
50,general malaise
50,vague bodily discomfort
50,asthenia
50,feels awful
50,generalfeeling of illness
50,feeling lifeless
50,ill feeling
50,Malaise and fatigue
51,Cardiac Asthma
51,DyspneaParoxysmal Nocturnal
51,Paroxysmal nocturnal dyspnea
51,PND - Paroxysmal nocturnal dyspnea
51,PND
52,AP - Angina pectoris
52,Angina Pectoris
52,Ischaemic heart disease - angina
52,Anginal syndrome
52,Angina
52,Ischemic chest pain
52,pain angina
52,Angina of effort
52,Stenocardia
52,Cardiac angina
53,Cardiac Murmurs
54,Clinical data of advanced age
55,Delayed second heart sound
56,Decreased/absent second heart sound
57,Paradoxically split second heart sound
58,Abnormal carotid upstroke
59,Pulsus parvus et tardus
60,Left ventricular heave
61,Left ventricular hypertrophy on imaging
62,Calcified aortic valve
63,Poststenotic dilatation of aorta
64,Left atrial enlargement on imaging
65,EKG: Left ventricular hypertrophy
65,Left ventricular hypertrophy by EKG
65,ECG: LVH
65,Electrocardiogram: left ventricle hypertrophy (finding)
65,LEFT VENTRICULAR HYPERTROPHY
65,ECG:left ventricle hypertrophy
66,Left atrial enlargement on ECG
67,Left axis deviation on ECG
68,First degree atrioventricular block
69,Electrocardiographic complete left bundle branch block
69,ECG complete left bundle branch block
70,Aortic valve stenosis on echocardiogram
71,Aortic valve stenosis on catheterization
72,Heart throbbing
72,Palpitations
72,Heart palpitations
72,heart irregularities
74,Right ventricular heave
75,Fixed split second heart sound
76,Abnormally loud pulmonic component of the second heart sound
76,Accentuation of the pulmonic component of the second heart sound
78,Increased heart rate
78,Heart racing
78,Rapid pulse
78,Pulse fast
78,tachycardia by pulse
78,Heartbeats increased
78,Heart rate fast
78,Quick pulse
78,a tachycardic pulse was noted
78,Rapid heart beat
78,Tachycardia
79,EKG: Incomplete right bundle branch block
79,RBBB incomplete
80,Right Bundle Branch Block
80,EKG: right bundle branch block
80,RBBB
80,Right Bundle Branch Block by EKG Finding
80,Complete RBBB
81,Electrical right axis deviation
81,RAD
81,Right axis deviation
81,RAD - Right axis deviation
82,Barium enema for body/tail pancreatic carcinoma
83,Fibrillation atrial
83,Auricular Fibrillation
83,AFib
83,Atrial Fibrillation
83,Quivering upper heart chambers resulting in irregular heartbeat
84,Cardiac Arrhythmia
84,cardiac rhythm disorder (diagnosis)
84,Cardiac Arrhythmias
84,Irregular heartbeat
84,rhythm; disorder
84,Cardiac Dysrhythmia
84,Arrhythmias
84,Dysrhythmia;cardiac
84,Disorder of heart rhythm
84,Irregular heart beat
84,Dysrhythmia
84,Arrhythmia (finding)
84,Heart Arrhythmias
84,Heart rhythm disorders
84,rhythmheart; abnormal
84,Arrhythmia
84,Abnormal heart rhythms
84,Cardiac rhythm irregular
84,rhythm; abnormal
84,Dysrhythmias
84,disturbance; rhythmheart
85,Cardiac enlargement on imaging; usually due to right ventric. enlarg
86,CXR - Chest X-ray with increased pulmonary artery and/or vascular engorgement on imaging
87,Eisenmenger complex: right-to-left shunt. pulm. hypert. echocard
88,PAP
88,Pulmonary artery pressure elevated
88,PAP - Pulmonary artery pressure
89,Eisenmenger complex: right-to-left shunt due to pulm. hypert. on cath
90,Atrial septal defect on arteriography
91,Biopsy of liver: HEMOCHROMATOSIS
92,embolism; arterialperipheral
92,Peripheral arterial embolism
93,Pulmonary Edema
93,Excess fluid in lungs
93,Oedema pulmonary
93,Wet Lung
93,Lung edema
93,LungsWet
94,Mitral opening snap
95,Loud first heart sound
96,Heart murmur qualityrumbling
98,Liver enlargement
98,Enlarged Liver
98,large liver
98,Hepatomegaly
98,hepatic enlargement
99,Right ventricular hypertrophy on ECG
100,P mitral on ECG
101,Mitral stenosis on echocardiogram
102,Mitral stenosis on catheterization
103,Smoker
104,History of congestive heart failure
106,Pre-existing diabetes mellitus
106,History of diabetes mellitus
106,H/O: diabetes mellitus
107,History of cerebrovascular accident
108,Drenching sweats
108,Increased sweating
108,Sweatingincreased
108,diaphoresis
108,sweating heavy
108,excessive diaphoresis
108,Excess sweating
108,sweating; excess
108,Hidropoiesis
108,Sweating profusely
108,Profuse sweating
108,profusely sweating
108,[D]Diaphoresis
108,Sweating increased
108,[D]Excessive sweating
108,Perspiration
108,Heavy sweating
109,Coughing
109,Cough
109,Coughs
110,Weakness generalised
110,loss of strength
110,Debility NOS
110,Strength loss of
110,General debility
110,Lassitude
110,Feeling weak
110,debility
110,lack of strengh
110,General weakness
110,weak feeling
110,asthenic
110,Weakness - general
110,Weakness
111,Barium enema for diverticulitis
113,Shock
113,Acute circulatory failure
113,[D]Failure of peripheral circulation
113,Collapse cardiovascular
113,Peripheral vascular shutdown
113,Circulatory Failure
113,Shock vascular
113,Vascular collapse
113,Circulatory shock
113,Circulatory Collapse
113,Peripheral vascular failure
113,shock syndrome
114,On examination - apex beat displaced -LVH (finding)
114,On examination - apex beat displaced - left ventricle hypertrophy (finding)
114,O/E - apex beat displaced -LVH
114,O/E - apex beat displaced -LVH (finding)
115,S3 heart sound
115,Third and/or fourth heart sound
115,S4 heart sound
116,Rubs
116,Pericardial friction rub present
116,Observation of pericardial friction rub
116,Pericardial rub
116,Precardial friction
116,Pericardial friction
116,heart sounds pericardial friction rub
116,Pericardial friction rub
116,Pericardial fremitus
116,Pericardial friction sound
117,CKMB
117,CPK-MB
117,Creatine kinase MB measurement
117,Creatine kinase (CK)-MB level test: ELEVATED
117,Creatine phosphokinase MB
117,CK-MB
118,Plasma troponin T measurement
118,Plasma troponin T level: ELEVATED
119,Myocardial infarction pattern on ECG
121,Pain relief related to position
122,Muscle Pain
122,Muscle Soreness
122,Myoneuralgia
122,Muscle ache
122,Myodynia
122,Myalgia
122,muscle aches
122,Aching muscles
123,Pharyngeal pain
123,scratchy throat
123,ThroatSore
123,Faucitis
123,throat inflammation
123,throat pain
123,Throat discomfort
123,Pharynx discomfort
123,Pain in throat
123,Sore throat
123,Pain in the pharynx
123,Throat soreness
125,Cephalalgia
125,Cephalodynia
125,Head Pain
125,Have headaches
125,Cranial Pain
125,Pain head
125,head ache
125,Headache
125,Pain in head
125,ache head
125,HA - Headache
126,Aching joints
126,aching joint
126,arthrodynia
126,Arthralgias
126,diffuse joint pains
126,joint pain
126,Articular pain
126,Arthralgia
126,Arthritic-like pain
126,Painful joint
126,Discomfort in joints
127,Osteomyelitic abnormalities on X-rays
128,lymph node; enlargementgeneralized
128,Swollen lymph nodes
128,gland; hypertrophygeneralized
128,Lymph node enlarged
128,Generalized lymphadenopathy
128,Swollen lymph glands
128,Polyadenopathy
128,enlarged lymph nodes
128,Adenopathy
128,Generalized enlarged lymph nodes
128,Enlargement of lymph nodes
128,hypertrophy; glandgeneralized
130,sed rate elevated
130,Raised erythrocyte sedimentation rate
130,RBC sedimentation increased
130,Elevated sedimentation rate
130,High erythrocyte sedimentation rate
130,High ESR
130,Erythrocyte sedimentation rate raised
130,elevated sed rate
130,Sedimentation rate increased
130,Elevated ESR
130,ESR raised
130,ESR increased
130,Erythrocyte sedimentation rate increased
131,Pericarditis pattern on ECG
132,Chest X-ray: pericardial effusion.
136,Obese
136,Obesity
137,Hx pulmonary embolism
137,Personal history of pulmonary embolism
138,Bed rest longer than 3 days
138,Confined to bed
138,Bedridden
138,Prolonged bed rest
142,reported a history of cancer
142,History of malignant neoplasm
142,H/O: malignancy
142,History of cancer
142,H/O: cancer
143,fracture limb
143,Increased long bone fracture rate
143,Fractures of the long bones
144,Oral contraceptive
144,Oral contraception
144,OC
144,Birth control pill
144,The pill
144,Pill - oral contraception
144,Inhibition of ovulation
145,Anxiety reaction
145,rndx anxiety (diagnosis)
145,Angst
145,anxious
145,anxiousness
145,feeling nervous
145,anxieties
145,Excessivepersistent worry and fear
145,Anxiety
145,Anxious behavior
145,Feeling anxious
145,Reaction anxiety
145,Apprehension
145,Feel anxious
145,nervousness
145,Anxiousness
145,feeling jitter
146,rapid breathing
146,Polypnea
146,Fast Breathing
146,Increased respiratory rate
146,Breathing rate increased
146,Rapid respiration
146,respiratory rate over 20
146,Tachypnea
146,Respiration rate increased
146,respiratory rate equal to 20
146,Respiratory rate high
146,Rapid breathing
147,Triple rhythm
147,Gallop heart sound
147,Gallop rhythm
148,wheezes
148,reported wheezing
148,wheeze
148,Wheezing
148,Wheezy
149,Hilar mass on CT or MRI
150,High bili total
150,Increased bilirubin
150,bilirubin total increased
150,high bilirubin
150,Increased total bilirubin
150,Bilirubin total high
150,Bilirubin increased
150,Elevated bilirubin
150,Elevated total bilirubin
153,P-pulmonale
154,Elevated diaphragm
155,Arterial hypoxemia
155,O2 saturation decreased
155,hypoxia
155,Low blood oxygen level
155,Hypoxemia
155,Blood oxygen decreased
155,Blood oxygen level below normal
156,Pulmonary Ventilation Perfusion Scans
156,perfusion ventilation scan
156,VQ - Ventilation perfusion scan
156,Ventilation-Perfusion Scan
156,VQ lung scan
156,Ventilation-Perfusion Scintigraphy
156,VQ scan
156,V-Q Scintigraphy
156,scanning vq
156,Lung VQ Scan
157,Lung perfusion scan with ventilation scan: medium probability
158,Lung perfusion scan with ventilation scan: low probability
159,Pulmonary angiogram with evidence of emboli
159,Pulmonary Angiography
159,PULMONARY ANGIOGRAPHY
160,Wt loss
160,Weight loss
160,Losing weight
160,Decreased body weight
160,Weight decreased
160,Weight Reduction
160,Progressive weight loss
161,Hypermelanosis
161,Skin Hyperpigmentation
161,Hyperpigmentation
161,Cutaneous hyperpigmentation
161,hyperpigmentation of skin
162,lack of appetite
162,not hungry
162,don't want to eat
162,Anorexia
162,loss of appetite
162,APPETITE IMPAIRED
162,Decreased Appetite
163,constipating
163,Difficulty defecating
163,retention; fecal
163,constipate
163,rndx constipation
163,rndx unspecified constipation
163,Difficulty passing stool
163,Can't shit
163,Difficulty opening bowels
163,Can't go to the bathroom
163,Constipated
163,Costive symptom
163,Constipation
163,Difficult passing motion
163,Costiveness
164,runs(diarrhoea)
164,Loose Stools
164,Frequent Stools
164,Diarrhoea
164,bowel loose movements
164,The runs
164,Going to bathroom often
164,Watery stool
164,bowels loose movement
164,Diarrhea
164,Shits
165,craves salt
165,craving salt
165,salt crave
165,Salt craving
166,Oligomenorrheas
166,menstruation; infrequent
166,Opsomenorrhoea
166,time between periods has increased (symptom)
166,Oligomenorrhea (finding)
166,Oligomenorrhea
166,Oligomenorrhoea NOS
166,Infrequent periods
166,infrequent periods
166,Oligomenorrheaunspecified
166,Opsomenorrhea
166,Abnormal long menstrual cycle
166,Relative amenorrhea
166,Infrequent menstruation
166,infrequent; menstruation
166,infrequent menstruation
166,Oligomenorrhoea (disorder)
166,Oligomenorrhoeaunspecified
166,time between periods has increased
166,Relative amenorrhoea
166,Menses infrequent
166,oligomenorrhea (diagnosis)
166,oligomenorrhoea
166,Light or infrequent menstrual periods
166,Infrequent menstruation (finding)
166,Oligomenorrhea NOS
166,Oligomenorrhoea
167,Hashimoto's thyroiditis
167,Autoimmune hypothyroidism
167,Grave's disease
167,Autoimmune myxoedema
167,Hypothyroidism (autoimmune)
167,Thyroiditis
167,HypothyroidismAutoimmune
167,Autoimmune hypothyroidism (disorder)
167,Hypothyroidism with positive thyroid antibodies
167,Autoimmune myxedema
168,Vitiligo vulgaris
168,Vitiligo
168,Blotchy loss of skin color
168,Hypopigmentation of skin
169,Low plasma sodium
169,Hyponatremia
170,Hyperpotassemias
170,Hyperkalaemia
170,Raised serum potassium level
170,Serum potassium concentration increased above normal
170,Elevated serum potassium levels
170,K excess
170,hyperpotassemia
170,Hyperkalemic syndrome
170,excessive potassium in the blood
170,Potassium [K] excess
170,Potassium excess
170,Hyperkalemia
170,K overload
170,Potassium [K] overload
171,Hyperglycemia
171,Hyperglycemias
171,high blood sugar level
171,elevated blood sugar
171,Hyperglycaemia
171,High blood sugar
171,Elevated Blood Glucose
171,High blood glucose
171,Hyperglycemic disorder
172,Increased calcium in blood
172,High blood calcium levels
172,Raised serum calcium level
172,Hypercalcemia
172,Serum calcium concentration above normal
173,AnemiaMegaloblastic
174,Decreased cortisol level
174,Cortisol concentration decreased below normal
174,Cortisol concentration decreased
175,Decreased cortisol metabolites excretion
176,ACTH stimulation test: diminished response.
178,[D]Polydipsia NOS (context-dependent category)
178,thirst; excessive
178,Finding of excessive fluid intake
178,excessive thirst / fluid intake (polydypsia)
178,excessive; thirst
178,Excessive fluid intake - finding
178,Always thirsty
178,thirst; excess
178,Hydrodipsomania
178,Drinks a lot - fluids
178,polydipsia (symptom)
178,Thirst excessive
178,Drinks continuously
178,Finding of excessive fluid intake (finding)
178,excessive fluid intake (history)
178,Cannot stop drinking
178,[D]Excessive thirst (context-dependent category)
178,Drinking more water
178,Excessive thirst (finding)
178,excessive thirst and fluid intake
178,Desperate to drink
178,[D]Polydipsia NOS (situation)
178,Excessive thirst
178,excessive thirst
178,Polydipsia
178,excessive fluid intake
178,excessive fluid consumption (symptom)
178,Extreme thirst
178,[D]Polydipsia (situation)
178,[D]Polydipsia (context-dependent category)
178,excessive thirst (symptom)
178,[D]Excessive thirst
178,[D]Polydipsia
178,Excessive fluid intake (finding)
178,[D]Excessive thirst (situation)
178,[D]Polydipsia NOS
178,always thirsty
178,excessive fluid consumption
178,Keen for fluids
178,Excessive fluid intake
178,Excessive;thirst
179,centripetal obesity (physical finding)
179,Android fat distribution
179,Central Adiposity
179,Central adiposity
179,Fat body with thin limbs
179,Truncal obesity
179,Centripetal obesity
179,Central obesity
179,trunk obesity
179,Obesity of face and trunksparing limbs
180,cushingoid facies (physical finding)
180,faced moon
180,cushingoid
180,Puffy facies
180,face moon
180,Steroid facies
180,Puffy face
180,moon face
180,Moon facies
180,Moon face top
180,Cushingoid facies (finding)
180,Moon face
180,Cushingoid facies
180,faces moon
180,moon facies
181,Buffalo hump (finding)
181,Dorsocervical fat pad
181,buffalo humps
181,Buffalo hump (disorder)
181,Buffalo hump
181,buffalo hump (physical finding)
181,dorsal cervical fat pads
182,purplish striae
182,Corticosteroid-induced striae
183,Ecchymosis (finding)
183,Ecchymoses
183,ecchymosis (physical finding)
183,Ecchymosis
183,Ecchymosis (morphologic abnormality)
183,Ecchymosis NOS
183,ecchymoses
184,Hirsuties
184,Hirsutes
184,excessive growth hair
184,Hirsutism
184,hirsuitism
184,excessive facial or body hair
184,Pilosis
186,Absolute lymphocyte count decrease
186,Lymphopenias
186,Disorder characterized by lymphopenia
186,Lymphopenia
186,Lymphocytopenia
186,Decreased blood lymphocyte number
186,Decreased lymphocytes
186,Lymphocytopenias
186,Low lymphocyte number
187,Eosinopenia
187,Eosinophilic cytopenia
187,Disorder characterized by eosinopenia
188,GTT abnormal
188,Abnormal carbohydrate tolerance
188,impaired GTT
188,[D]Impaired glucose tolerance
188,[D]Prediabetes
188,Glucose tolerance test abnormal
188,[D]Impaired glucose tolerance test
188,Blood sugar abnormalities
188,Abnormal glucose tolerance test
188,Glucose tol. test impaired
189,Hypokalemic syndrome
189,potassium depletion
189,Low serum potassium level (finding)
189,Hypopotassemia syndrome
189,k deficiency
189,Low blood potassium levels
189,deficiency potassium
189,potassium deficiency
189,Hypokalemia
189,Potassium [K] deficiency
189,Hypopotassemia
189,Low serum potassium level
189,Low potassium syndrome
189,deficiency k
190,Alkalosis
190,Alkaloses
191,DXA Scan: Osteoporosis
192,Pathological fracture spine
192,Patholog. fracture vertebra
192,Pathological fracture of vertebra
192,Path fx vertebrae
193,Pathological fracture of rib
194,Calculus of kidney
194,Kidney Stones
194,calculus; nephritic
194,Renal calculi
194,Kidney Calculi
194,Kidney Stone
194,Kidney stone (disorder)
194,Renal calculus or stone
194,KIDNEY STONES
194,CalculusKidney
194,Nephrolithiasis
194,Stone in kidney
194,NEPHROLITHIASISCALCIUM OXALATE
194,Renal lithiasis
194,Nephrolith
194,Nephrolithiasis (disorder)
194,StonesKidney
195,Adrenocortical hyperplasia on imaging
196,Adrenocortical tumor on imaging
197,Cortisol concentration increased above normal
197,Increased cortisol level at 08::00 or at midnight
197,Increased hydrocortisone level
197,Increased compound F level
197,Cortisol concentration increased
198,Cortisol free urine high
198,Cortisol free urine increased
198,Increased urinary free cortisol
199,Dexamethasone suppression test
200,Osteodynia
200,achy bones
200,Skeletal pain
200,Bone pain
200,ostalgia
200,bones ache
202,Upper GI series for gastric carcinoma
204,Parathyroid adenoma on imaging
205,Osteitis fibrosa cystica on imaging
206,Nephrocalcinosis
207,Peptic ulcer on endoscopy and biopsy
208,Pyuria
209,Reduced creatinine clearance
209,Impaired renal creatinine clearance
209,Decreased GFR
209,Glomerular filtration rate decreased
209,Glomerular filtration rate low
210,Elevated urine calcium
210,Calcium concentration in urine above normal
210,Hypercalcinuria
210,Hypercalciuria
210,Elevated urine calcium levels
210,Calcium level in urine elevated
210,urine tests nonspecific abnormal findings hypercalciuria
210,Disorder characterized by hypercalciuria
211,Markers of bone turnover
212,PTH elevated
212,Assay of parathormone
212,Parathyroid hormone measurement
212,Parathyrin
213,disorder hypophosphatemia
213,hypophosphataemia
213,hypophosphatemia (diagnosis)
213,HypophosphatemiaNOS
213,Hypophosphatemia
213,Hypophosphatemias
213,Hypophosphataemia
213,HypophosphataemiaNOS
213,Disorder characterized by hypophosphatemia
213,Low blood phosphate level
213,Hypophosphatemia (disorder)
214,Heat sensitivity
214,Heat intolerance
214,Intolerant of heat
214,Sensitive to heat
214,Gets overheated
216,appetite increased
216,High food intake
216,stimulate appetite
216,polyphagia
216,Appetite stimulated
216,Increased food appetite
216,Increased appetite
216,increased hunger
217,Disorder of eye region (disorder)
217,ophthalmic disorders
217,Ophthalmological disorder
217,Disease of eyeball
217,Disorder of eye
217,Eye
217,Disorder of orbital region
217,Eye Diseases
217,Eye Disease
217,Ophthalmopathy
217,oculopathy
217,Disorders of the globe
217,Disorders of globe
219,Thyroid gland swelling
219,Thyroid enlarged
219,Goiter
219,Thyroid enlargement
219,Struma - goiter
219,Struma
219,enlargement under Adam's apple
219,Enlarged thyroid gland in neck
219,Enlarged thyroid gland
219,Enlargement of thyroid
219,Swelling of thyroid gland
219,Thyromegaly
219,Struma of thyroid
219,Thyroid goiter
219,Enlarged thyroid
220,Thyroid flow murmur
220,Thyroid bruit
221,Eyelid lag
221,Lid lag
221,Laglid
221,Lid lag on downgaze
222,quivers
222,trembles
222,Shaking all over
222,Shakes
222,motor exam involuntary movements tremor trembles
222,Trembling
222,The shakes
222,shaking
222,Involuntary shaking
222,quivering
222,involuntary shaking or trembling movements
222,Tremor
222,Has a tremor
223,Eyeballs bulging out
223,Proptoses
223,Anterior bulging of the globe of eye
223,Exophthalmos
223,Eye displaced forwards
223,Ocular proptosis
223,Eye bulging
223,Bulging eyes
223,eyes bulging out (symptom)
223,bulging eye
223,exoftalmía
223,Anterior bulging of the globe
223,Protrusio bulbi
223,Exophthalmia
223,Prolapsed globe
223,Proptosis
225,X-ray chest heart sizeshape cardiomegaly
227,Increased freeuncombined thyroxinT four or T three
228,Low or absent thyrotropin (TSH)
229,Mammary enlargement in male
229,Gynecomastia
229,Hypertrophy of male breast
229,Male Breast Enlargement
229,Gynaecomastia
230,Proximal myopathymuscle wasting
231,Bald
231,Baldness
231,Falling hair
231,Hair loss disorder
231,Thinning hair
231,nonscarring hair loss
231,calvities
231,Alopecia
231,Hair Loss
232,Scanning: Thyroid radionuclide scan with diffuse increased uptake
233,Numbness of limbs
233,limbs numbness
233,Numbness of extremities
235,Family history of pheochromocytoma
236,Decrease in blood pressure upon standing up
236,HypotensionOrthostatic
236,Postural hypotension
236,HypotensionPostural
236,orthostatic; hypotension
237,Funduscopic abnormalities for pheochromocytoma
238,Pallor
238,Loss of colour
238,Pale
238,Paleness
238,pale skin
241,Barium enema for ulcerative colitis
242,Elevated twenty four-hour urine vanillylmandelic acid
243,Elevated plasma and urine catecholamines and metanephrines
244,CT of adrenals
244,Computed Tomography (CT) of Adrenals with a tumor
244,adrenal ct
244,Computed tomography of adrenals
245,Abdominal painepigastric
245,abdominal pain in the central upper belly
245,Pain in Epigastrium
245,Epigastric ache
245,Epigastric pain
246,Indigestion
246,Dyspepsia
248,Abdominal tenderness RUQ and/or epigastrium
251,Bone metastasis on radionuclide bone scan
252,Rebound pain
252,Abdominal rebound pain (finding)
252,Rebound tenderness
253,Elevated alkaline phosphatase
253,abnormal alkaline pohosphatase
253,Increased alkaline phosphatase
253,high alkaline phosphatase
254,Serum amylase concentration increased above normal
254,Amylase serum  Increased
254,Serum amylase raised
254,metabolic tests serum amylase increased
254,Hyperamylasemia
254,Increased circulating amylase level
254,Amylasemia
255,Nonvisualized gallbladder on oral or IV cholecystogram
256,Stones in plain abdominal films
257,Gallbladder inflammationstones
258,HIDA biliary scan
260,Discoloredacholic stools
260,Acholic feces
260,Acholic stool
260,acholia
260,Gray stools
260,Pale stools
260,white stools
260,Clay-colored stools
261,Stones on oral cholecystogram
262,Male erectile disorder
262,Male Sexual Impotence
262,impotence
262,sexual impotence
262,Abnormal erection
262,Erectile dysfunction
262,Difficulty getting an erection
262,Failure of erection
262,disturbance; erectile
262,ImpotenceNOS
262,ED
262,Erection failure
262,dysfunctioning erectile
263,Swelling abd
263,Swollen abdomen (finding)
263,Abdominal distended
263,swelling of abdomen
263,Distension;abdomen
263,Swelling abdomen
263,Swollen abdomen
263,Abdominal distention
264,blood; vomiting
264,vomiting out blood
264,Emesis bloody
264,Hematemesis
264,Vomiting of blood
264,hematemesis was observed
264,Vomiting blood
264,Hematemeses
264,gastrointestinal disorder hematemesis
264,Brown vomiting
264,Blood vomiting
265,History of alcoholism
265,H/O: alcoholism
265,History of - alcoholism (context-dependent category)
266,Nocturia
266,urinary frequency more than once at night (symptom)
266,nycturia
266,Nocturnal frequency
267,Nosebleed
267,Nasal Bleeding
267,Nasal hemorrhage
267,nasal bleed
267,Hemorrhage nasal
267,Nosebleeds
267,Epistaxis
269,itchy skin
269,Scratching skin
269,Skin pruritusitching
269,pruritis
269,skin itches
270,Firm nodular liver
271,orchiatrophy
271,Testicular degeneration
271,Testicular atrophy
271,Atrophy of testis
271,atrophied testicles
